index,glir11,qo11,qt11,wc11,glir22,qo22,qt22,wc22
146,542,139.73,184.83,3.987,200,5.73,5.73,2
147,542,139.73,184.83,3.987,200,5.73,5.73,2
148,542,139.73,184.83,3.987,200,5.73,5.73,2
149,542,139.73,184.83,3.987,200,5.73,5.73,2
150,542,139.73,184.83,3.987,200,5.73,5.73,2
151,542,139.73,184.83,3.987,200,5.73,5.73,2
152,542,139.73,184.83,3.987,200,5.73,5.73,2
153,542,139.73,184.83,3.987,200,5.73,5.73,2
154,542,139.73,184.83,3.987,200,5.73,5.73,2
155,542,139.73,184.83,3.987,200,5.73,5.73,2
156,542,139.73,184.83,3.987,200,5.73,5.73,2
157,542,139.73,184.83,3.987,200,5.73,5.73,2
158,542,139.73,184.83,3.987,200,5.73,5.73,2
159,542,139.73,184.83,3.987,200,5.73,5.73,2
160,542,139.73,184.83,3.987,200,5.73,5.73,2
161,542,139.73,184.83,3.987,200,5.73,5.73,2
162,542,139.73,184.83,3.987,200,5.73,5.73,2
163,542,139.73,184.83,3.987,200,5.73,5.73,2
164,542,139.73,184.83,3.987,200,5.73,5.73,2
165,542,139.73,184.83,3.987,200,5.73,5.73,2
166,542,139.73,184.83,3.987,200,5.73,5.73,2
167,542,139.73,184.83,3.987,200,5.73,5.73,2
168,542,139.73,184.83,3.987,200,5.73,5.73,2
169,542,139.73,184.83,3.987,200,5.73,5.73,2
170,542,139.73,184.83,3.987,200,5.73,5.73,2
171,542,139.73,184.83,3.987,200,5.73,5.73,2
172,542,139.73,184.83,3.987,200,5.73,5.73,2
173,542,139.73,184.83,3.987,200,5.73,5.73,2
174,542,139.73,184.83,3.987,200,5.73,5.73,2
175,542,139.73,184.83,3.987,200,5.73,5.73,2
176,542,139.73,184.83,3.987,200,5.73,5.73,2
177,542,139.73,184.83,3.987,200,5.73,5.73,2
178,542,139.73,184.83,3.987,200,5.73,5.73,2
179,542,139.73,184.83,3.987,200,5.73,5.73,2
180,542,139.73,184.83,3.987,200,5.73,5.73,2
181,542,139.73,184.83,3.987,200,5.73,5.73,2
182,542,139.73,184.83,3.987,200,5.73,5.73,2
183,542,139.73,184.83,3.987,200,5.73,5.73,2
184,542,139.73,184.83,3.987,200,5.73,5.73,2
185,542,139.73,184.83,3.987,200,5.73,5.73,2
186,542,139.73,184.83,3.987,200,5.73,5.73,2
187,542,139.73,184.83,3.987,200,5.73,5.73,2
188,542,139.73,184.83,3.987,200,5.73,5.73,2
189,542,139.73,184.83,3.987,200,5.73,5.73,2
190,542,139.73,184.83,3.987,200,5.73,5.73,2
191,542,139.73,184.83,3.987,200,5.73,5.73,2
192,542,139.73,184.83,3.987,200,5.73,5.73,2
193,542,139.73,184.83,3.987,200,5.73,5.73,2
194,542,139.73,184.83,3.987,200,5.73,5.73,2
195,542,139.73,184.83,3.987,200,5.73,5.73,2
196,542,139.73,184.83,3.987,200,5.73,5.73,2
