index,glir11,qo11,qt11,glir22,qo22,qt22
11049,542,140.8044259,241.9385561,0,4.739083679,40.27579618
11050,542,140.8044259,241.9385561,0,4.739083679,40.27579618
11051,542,138.9954173,230.0837666,0,3.471785785,30.56820892
11052,542,138.9954173,230.0837666,0,3.471785785,30.56820892
11053,542,138.9954173,230.0837666,0,3.471785785,30.56820892
11054,542,138.9954173,230.0837666,0,3.471785785,30.56820892
11055,542,138.9954173,230.0837666,0,3.471785785,30.56820892
11056,542,138.9954173,230.0837666,0,3.471785785,30.56820892
11057,542,138.9954173,230.0837666,0,3.471785785,30.56820892
11058,542,138.9954173,230.0837666,0,3.471785785,30.56820892
11059,542,138.9954173,230.0837666,0,3.471785785,30.56820892
11060,542,138.9954173,230.0837666,0,3.471785785,30.56820892
11061,542,137.8275214,220.7777568,0,2.732951113,23.75348266
11062,542,137.8275214,220.7777568,0,2.732951113,23.75348266
11063,542,137.8275214,220.7777568,0,2.732951113,23.75348266
11064,542,137.8275214,220.7777568,0,2.732951113,23.75348266
11065,542,137.8275214,220.7777568,0,2.732951113,23.75348266
11066,542,137.8275214,220.7777568,0,2.732951113,23.75348266
11067,542,137.8275214,220.7777568,0,2.732951113,23.75348266
11068,542,137.8275214,220.7777568,0,2.732951113,23.75348266
11069,542,137.8275214,220.7777568,0,2.732951113,23.75348266
11070,542,137.8275214,220.7777568,0,2.732951113,23.75348266
11071,542,137.0735278,213.4725391,0,2.302210499,18.96954483
11072,542,137.0735278,213.4725391,0,2.302210499,18.96954483
11073,542,137.0735278,213.4725391,0,2.302210499,18.96954483
11074,542,137.0735278,213.4725391,0,2.302210499,18.96954483
11075,542,137.0735278,213.4725391,0,2.302210499,18.96954483
11076,542,137.0735278,213.4725391,0,2.302210499,18.96954483
11077,542,137.0735278,213.4725391,0,2.302210499,18.96954483
11078,542,137.0735278,213.4725391,0,2.302210499,18.96954483
11079,542,137.0735278,213.4725391,0,2.302210499,18.96954483
11080,542,137.0735278,213.4725391,0,2.302210499,18.96954483
11081,542,136.5867496,207.7379432,0,2.051088721,15.61122047
11082,542,136.5867496,207.7379432,0,2.051088721,15.61122047
11083,542,136.5867496,207.7379432,0,2.051088721,15.61122047
11084,542,136.5867496,207.7379432,0,2.051088721,15.61122047
11085,542,136.5867496,207.7379432,0,2.051088721,15.61122047
11086,542,136.5867496,207.7379432,0,2.051088721,15.61122047
11087,542,136.5867496,207.7379432,0,2.051088721,15.61122047
11088,542,136.5867496,207.7379432,0,2.051088721,15.61122047
11089,542,136.5867496,207.7379432,0,2.051088721,15.61122047
11090,542,136.5867496,207.7379432,0,2.051088721,15.61122047
11091,542,136.2724855,203.2362854,0,1.904684724,13.25367677
11092,542,136.2724855,203.2362854,0,1.904684724,13.25367677
11093,542,136.2724855,203.2362854,0,1.904684724,13.25367677
11094,542,136.2724855,203.2362854,0,1.904684724,13.25367677
11095,542,136.2724855,203.2362854,0,1.904684724,13.25367677
11096,542,136.2724855,203.2362854,0,1.904684724,13.25367677
11097,542,136.2724855,203.2362854,0,1.904684724,13.25367677
11098,542,136.2724855,203.2362854,0,1.904684724,13.25367677
11099,542,136.2724855,203.2362854,0,1.904684724,13.25367677
11100,542,136.2724855,203.2362854,0,1.904684724,13.25367677
11101,542,137.9479167,199.551984,0,4.029431194,11.39008109
11102,542,137.9479167,199.551984,0,4.029431194,11.39008109
11103,542,137.9479167,199.551984,0,4.029431194,11.39008109
11104,542,137.9479167,199.551984,0,4.029431194,11.39008109
11105,542,137.9479167,199.551984,0,4.029431194,11.39008109
11106,542,137.9479167,199.551984,0,4.029431194,11.39008109
11107,542,137.9479167,199.551984,0,4.029431194,11.39008109
11108,542,137.9479167,199.551984,0,4.029431194,11.39008109
11109,542,137.9479167,199.551984,0,4.029431194,11.39008109
11110,542,137.9479167,199.551984,0,4.029431194,11.39008109
11111,542,139.029575,196.6598075,0,5.268158386,10.08183693
11112,542,139.029575,196.6598075,0,5.268158386,10.08183693
11113,542,139.029575,196.6598075,0,5.268158386,10.08183693
11114,542,139.029575,196.6598075,0,5.268158386,10.08183693
11115,542,139.029575,196.6598075,0,5.268158386,10.08183693
11116,542,139.029575,196.6598075,0,5.268158386,10.08183693
11117,542,139.029575,196.6598075,0,5.268158386,10.08183693
11118,542,139.029575,196.6598075,0,5.268158386,10.08183693
11119,542,139.029575,196.6598075,0,5.268158386,10.08183693
11120,542,139.029575,196.6598075,0,5.268158386,10.08183693
11121,542,139.7278936,194.3894489,0,5.990336339,9.163449523
11122,542,139.7278936,194.3894489,0,5.990336339,9.163449523
11123,542,139.7278936,194.3894489,0,5.990336339,9.163449523
11124,542,139.7278936,194.3894489,0,5.990336339,9.163449523
11125,542,139.7278936,194.3894489,0,5.990336339,9.163449523
11126,542,139.7278936,194.3894489,0,5.990336339,9.163449523
11127,542,139.7278936,194.3894489,0,5.990336339,9.163449523
11128,542,139.7278936,194.3894489,0,5.990336339,9.163449523
11129,542,139.7278936,194.3894489,0,5.990336339,9.163449523
11130,542,139.7278936,194.3894489,0,5.990336339,9.163449523
11131,542,140.1787281,192.6072173,0,6.411366086,8.518741565
11132,542,140.1787281,192.6072173,0,6.411366086,8.518741565
11133,542,140.1787281,192.6072173,0,6.411366086,8.518741565
11134,542,140.1787281,192.6072173,0,6.411366086,8.518741565
11135,542,140.1787281,192.6072173,0,6.411366086,8.518741565
11136,542,140.1787281,192.6072173,0,6.411366086,8.518741565
11137,542,140.1787281,192.6072173,0,6.411366086,8.518741565
11138,542,140.1787281,192.6072173,0,6.411366086,8.518741565
11139,542,140.1787281,192.6072173,0,6.411366086,8.518741565
11140,542,140.1787281,192.6072173,0,6.411366086,8.518741565
11141,542,140.4697869,191.2081656,0,6.656826428,8.066156578
11142,542,140.4697869,191.2081656,0,6.656826428,8.066156578
11143,542,140.4697869,191.2081656,0,6.656826428,8.066156578
11144,542,140.4697869,191.2081656,0,6.656826428,8.066156578
11145,542,140.4697869,191.2081656,0,6.656826428,8.066156578
11146,542,140.4697869,191.2081656,0,6.656826428,8.066156578
11147,542,140.4697869,191.2081656,0,6.656826428,8.066156578
11148,542,140.4697869,191.2081656,0,6.656826428,8.066156578
11149,542,140.4697869,191.2081656,0,6.656826428,8.066156578
11150,542,140.4697869,191.2081656,0,6.656826428,8.066156578
11151,542,140.6576944,190.10991,0,6.799929808,7.748441918
11152,542,140.6576944,190.10991,0,6.799929808,7.748441918
11153,542,140.6576944,190.10991,0,6.799929808,7.748441918
11154,542,140.6576944,190.10991,0,6.799929808,7.748441918
11155,542,140.6576944,190.10991,0,6.799929808,7.748441918
11156,542,140.6576944,190.10991,0,6.799929808,7.748441918
11157,542,140.6576944,190.10991,0,6.799929808,7.748441918
11158,542,140.6576944,190.10991,0,6.799929808,7.748441918
11159,542,140.6576944,190.10991,0,6.799929808,7.748441918
11160,542,140.6576944,190.10991,0,6.799929808,7.748441918
11161,542,140.7790075,189.2477794,0,6.883359078,7.525406227
11162,542,140.7790075,189.2477794,0,6.883359078,7.525406227
11163,542,140.7790075,189.2477794,0,6.883359078,7.525406227
11164,542,140.7790075,189.2477794,0,6.883359078,7.525406227
11165,542,140.7790075,189.2477794,0,6.883359078,7.525406227
11166,542,140.7790075,189.2477794,0,6.883359078,7.525406227
11167,542,140.7790075,189.2477794,0,6.883359078,7.525406227
11168,542,140.7790075,189.2477794,0,6.883359078,7.525406227
11169,542,140.7790075,189.2477794,0,6.883359078,7.525406227
11170,542,140.7790075,189.2477794,0,6.883359078,7.525406227
11171,542,140.8573272,188.5710068,0,6.931998342,7.368835171
11172,542,140.8573272,188.5710068,0,6.931998342,7.368835171
11173,542,140.8573272,188.5710068,0,6.931998342,7.368835171
11174,542,140.8573272,188.5710068,0,6.931998342,7.368835171
11175,542,140.8573272,188.5710068,0,6.931998342,7.368835171
11176,542,140.8573272,188.5710068,0,6.931998342,7.368835171
11177,542,140.8573272,188.5710068,0,6.931998342,7.368835171
11178,542,140.8573272,188.5710068,0,6.931998342,7.368835171
11179,542,140.8573272,188.5710068,0,6.931998342,7.368835171
11180,542,140.8573272,188.5710068,0,6.931998342,7.368835171
11181,542,140.9078905,188.0397403,0,6.960355034,7.25892229
11182,542,140.9078905,188.0397403,0,6.960355034,7.25892229
11183,542,140.9078905,188.0397403,0,6.960355034,7.25892229
11184,542,140.9078905,188.0397403,0,6.960355034,7.25892229
11185,542,140.9078905,188.0397403,0,6.960355034,7.25892229
11186,542,140.9078905,188.0397403,0,6.960355034,7.25892229
11187,542,140.9078905,188.0397403,0,6.960355034,7.25892229
11188,542,140.9078905,188.0397403,0,6.960355034,7.25892229
11189,542,140.9078905,188.0397403,0,6.960355034,7.25892229
