index,glir,qo,qt,wc,ch,gor
290,54.2,138.82,332.82,3.99,1133,21120.88
291,54.2,138.82,332.82,3.99,1133,21120.88
292,54.2,138.82,332.82,3.99,1133,21120.88
293,54.2,138.82,332.82,3.99,1133,21120.88
294,54.2,138.82,332.82,3.99,1133,21120.88
295,54.2,138.82,332.82,3.99,1133,21120.88
296,54.2,138.82,332.82,3.99,1133,21120.88
297,54.2,138.82,332.82,3.99,1133,21120.88
298,54.2,138.82,332.82,3.99,1133,21120.88
299,54.2,138.82,332.82,3.99,1133,21120.88
300,54.2,138.82,332.82,3.99,1133,21120.88
301,54.2,134,328,3.99,1133,21955.22
302,54.2,134,328,3.99,1133,21955.22
303,54.2,134,328,3.99,1133,21955.22
304,54.2,134,328,3.99,1133,21955.22
305,54.2,134,328,3.99,1133,21955.22
306,54.2,134,328,3.99,1133,21955.22
307,54.2,134,328,3.99,1133,21955.22
308,54.2,134,328,3.99,1133,21955.22
309,54.2,134,328,3.99,1133,21955.22
310,54.2,134,328,3.99,1133,21955.22
311,54.2,134,328,3.99,1133,21955.22
312,54.2,134,328,3.99,1133,21955.22
313,54.2,134,328,3.99,1133,21955.22
314,54.2,134,328,3.99,1133,21955.22
315,54.2,134,328,3.99,1133,21955.22
316,54.2,134,328,3.99,1133,21955.22
317,54.2,134,328,3.99,1133,21955.22
318,54.2,134,328,3.99,1133,21955.22
319,54.2,134,328,3.99,1133,21955.22
320,54.2,134,328,3.99,1133,21955.22
321,54.2,134,328,3.99,1133,21955.22
322,54.2,134,328,3.99,1133,21955.22
323,54.2,134,328,3.99,1133,21955.22
324,54.2,134,328,3.99,1133,21955.22
325,54.2,134,328,3.99,1133,21955.22
326,54.2,134,328,3.99,1133,21955.22
327,54.2,134,328,3.99,1133,21955.22
328,54.2,134,328,3.99,1133,21955.22
329,54.2,134,328,3.99,1133,21955.22
330,54.2,134,328,3.99,1133,21955.22
331,54.2,134,328,3.99,1133,21955.22
332,54.2,134,328,3.99,1133,21955.22
333,54.2,134,328,3.99,1133,21955.22
334,54.2,134,328,3.99,1133,21955.22
335,54.2,137.26,331.26,3.99,1133,21725.19
336,54.2,137.26,331.26,3.99,1133,21725.19
337,54.2,137.26,331.26,3.99,1133,21725.19
338,54.2,137.26,331.26,3.99,1133,21725.19
339,54.2,137.26,331.26,3.99,1133,21725.19
340,54.2,137.26,331.26,3.99,1133,21725.19
341,54.2,137.26,331.26,3.99,1133,21725.19
342,54.2,137.26,331.26,3.99,1133,21725.19
343,54.2,137.26,331.26,3.99,1133,21725.19
344,54.2,137.26,331.26,3.99,1133,21725.19
345,54.2,137.26,331.26,3.99,1133,21725.19
346,54.2,137.26,331.26,3.99,1133,21725.19
347,54.2,137.26,331.26,3.99,1133,21725.19
348,54.2,137.26,331.26,3.99,1133,21725.19
349,54.2,137.26,331.26,3.99,1133,21725.19
350,54.2,137.26,331.26,3.99,1133,21725.19
351,54.2,137.26,331.26,3.99,1133,21725.19
352,54.2,137.26,331.26,3.99,1133,21725.19
353,54.2,137.26,331.26,3.99,1133,21725.19
354,54.2,137.26,331.26,3.99,1133,21725.19
355,54.2,137.26,331.26,3.99,1133,21725.19
356,54.2,137.26,331.26,3.99,1133,21725.19
357,54.2,137.26,331.26,3.99,1133,21725.19
358,54.2,137.26,331.26,3.99,1133,21725.19
359,54.2,137.26,331.26,3.99,1133,21725.19
360,54.2,137.26,331.26,3.99,1133,21725.19
361,54.2,137.26,331.26,3.99,1133,21725.19
362,54.2,137.26,331.26,3.99,1133,21725.19
363,54.2,137.26,331.26,3.99,1133,21725.19
364,54.2,137.26,331.26,3.99,1133,21725.19
365,54.2,137.26,331.26,3.99,1133,21725.19
366,54.2,137.26,331.26,3.99,1133,21725.19
367,54.2,137.26,331.26,3.99,1133,21725.19
368,54.2,137.91,331.91,3.99,1133,19113.91
369,54.2,137.91,331.91,3.99,1133,19113.91
370,54.2,137.91,331.91,3.99,1133,19113.91
371,54.2,137.91,331.91,3.99,1133,19113.91
372,54.2,137.91,331.91,3.99,1133,19113.91
373,54.2,137.91,331.91,3.99,1133,19113.91
374,54.2,137.91,331.91,3.99,1133,19113.91
375,54.2,137.91,331.91,3.99,1133,19113.91
376,54.2,137.91,331.91,3.99,1133,19113.91
377,54.2,137.91,331.91,3.99,1133,19113.91
378,54.2,137.91,331.91,3.99,1133,19113.91
379,54.2,137.91,331.91,3.99,1133,19113.91
380,54.2,137.91,331.91,3.99,1133,19113.91
381,54.2,137.91,331.91,3.99,1133,19113.91
382,54.2,137.91,331.91,3.99,1133,19113.91
383,54.2,137.91,331.91,3.99,1133,19113.91
384,54.2,137.91,331.91,3.99,1133,19113.91
385,54.2,137.91,331.91,3.99,1133,19113.91
386,54.2,137.91,331.91,3.99,1133,19113.91
387,54.2,137.91,331.91,3.99,1133,19113.91
388,54.2,137.91,331.91,3.99,1133,19113.91
389,54.2,137.91,331.91,3.99,1133,19113.91
390,54.2,137.91,331.91,3.99,1133,19113.91
391,54.2,137.91,331.91,3.99,1133,19113.91
392,54.2,137.91,331.91,3.99,1133,19113.91
393,54.2,137.91,331.91,3.99,1133,19113.91
394,54.2,137.91,331.91,3.99,1133,19113.91
395,54.2,137.91,331.91,3.99,1133,19113.91
396,54.2,137.91,331.91,3.99,1133,19113.91
397,54.2,137.91,331.91,3.99,1133,19113.91
398,54.2,137.91,331.91,3.99,1133,19113.91
399,54.2,137.91,331.91,3.99,1133,19113.91
400,54.2,137.91,331.91,3.99,1133,19113.91
401,54.2,138.84,332.84,3.99,1133,18993.09
402,54.2,138.84,332.84,3.99,1133,18993.09
403,54.2,138.84,332.84,3.99,1133,18993.09
404,54.2,138.84,332.84,3.99,1133,18993.09
405,54.2,138.84,332.84,3.99,1133,18993.09
406,54.2,138.84,332.84,3.99,1133,18993.09
407,54.2,138.84,332.84,3.99,1133,18993.09
408,54.2,138.84,332.84,3.99,1133,18993.09
409,54.2,138.84,332.84,3.99,1133,18993.09
410,54.2,138.84,332.84,3.99,1133,18993.09
411,54.2,138.84,332.84,3.99,1133,18993.09
412,54.2,138.84,332.84,3.99,1133,18993.09
413,54.2,138.84,332.84,3.99,1133,18993.09
414,54.2,138.84,332.84,3.99,1133,18993.09
