index,glir11,qo11,qt11,wc11,ch11,gor11,glir22,qo22,qt22,wc22,ch22,gor22
159,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
160,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
161,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
162,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
163,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
164,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
165,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
166,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
167,54.2,139.79,333.79,3.99,777,21260.46,600,5.79,5.89,2,704,2936.096718
168,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
169,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
170,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
171,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
172,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
173,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
174,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
175,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
176,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
177,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
178,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
179,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
180,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
181,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
182,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
183,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
184,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
185,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
186,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
187,54.2,137.52,331.52,3.99,941.01,19139.03,600,3.52,3.62,4,868.01,500
